,version,num_steps,model_size,time
170,"C v5 (gcc, -Ofast)",80.0,1000.0,0.002305110996530857
171,Python v1,90.0,1000.0,6.968760109004506
172,Python v2,90.0,1000.0,6.6704990139987785
173,Numba v1,90.0,1000.0,0.38386937500035856
174,Numba v2,90.0,1000.0,0.41370196599746123
175,Numba v3,90.0,1000.0,0.3738614889953169
176,Numba v4,90.0,1000.0,0.3689651849999791
177,Fortran v1,90.0,1000.0,0.002150095002434682
178,Fortran v2,90.0,1000.0,0.0016493860021000728
179,Fortran v3,90.0,1000.0,0.001655904998187907
180,"C v1 (gcc, -O3)",90.0,1000.0,0.005961172006209381
181,"C v2 (gcc, -O2)",90.0,1000.0,0.004233592997479718
182,"C v2 (gcc, -O3)",90.0,1000.0,0.004272990998288151
183,"C v2 (gcc, -Ofast)",90.0,1000.0,0.004393090996018145
184,"C v2 (gcc, -Ofast, autoparallel)",90.0,1000.0,0.004400863996124826
185,"C v3 (gcc, -O3)",90.0,1000.0,0.0024894460002542473
186,"C v4 (gcc, -O3)",90.0,1000.0,0.0023719660021015443
187,"C v5 (gcc, -O2)",90.0,1000.0,0.004005105001851916
188,"C v5 (gcc, -O3)",90.0,1000.0,0.0023705159983364865
189,"C v5 (gcc, -Ofast)",90.0,1000.0,0.002467263002472464
190,Python v1,100.0,1000.0,7.55454563699459
191,Python v2,100.0,1000.0,7.420684704004088
192,Numba v1,100.0,1000.0,0.38225483600399457
193,Numba v2,100.0,1000.0,0.4122904820033
194,Numba v3,100.0,1000.0,0.3958266999979969
195,Numba v4,100.0,1000.0,0.39124892400286626
196,Fortran v1,100.0,1000.0,0.00228989699826343
197,Fortran v2,100.0,1000.0,0.0017871680029202253
198,Fortran v3,100.0,1000.0,0.0018002630022238009
199,"C v1 (gcc, -O3)",100.0,1000.0,0.006531311999424361
200,"C v2 (gcc, -O2)",100.0,1000.0,0.004634413002349902
201,"C v2 (gcc, -O3)",100.0,1000.0,0.00462901499849977
202,"C v2 (gcc, -Ofast)",100.0,1000.0,0.0048440019963891245
203,"C v2 (gcc, -Ofast, autoparallel)",100.0,1000.0,0.004839416993490886
204,"C v3 (gcc, -O3)",100.0,1000.0,0.004386312000860926
205,"C v4 (gcc, -O3)",100.0,1000.0,0.0026278979930793867
206,"C v5 (gcc, -O2)",100.0,1000.0,0.0026291539979865775
207,"C v5 (gcc, -O3)",100.0,1000.0,0.0026207619957858697
208,"C v5 (gcc, -Ofast)",100.0,1000.0,0.002790110003843438
